"title","author","year_pub","provider","country","crop","uri","curi","nuri"
"N2Africa MLE data, 2019","Vanlauwe, B., et.al","2020","IITA","Tanzania, Nigeria, Ethiopia","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/w98q-qw47","doi_10.25502_w98q-qw47",NA
"N2Africa par measurements - Uganda, 2017","Vanlauwe, B., et.al","2020","IITA","Uganda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/dtwy-dw72","doi_10.25502_dtwy-dw72",NA
"Agronomic management of Rice blast datasets","Auzoux, Sandrine","2019","CIRAD","Madagascar","Rice","https://doi.org/10.18167/DVN1/Y5HADO","doi_10.18167_DVN1_Y5HADO",NA
"Farmer Profiling Data - Ethiopia","Hagazi, Niguse","2019","ICARDA","Ethiopia",NA,"https://hdl.handle.net/20.500.11766.1/FK2/LU99IW","hdl_20.500.11766.1_FK2_LU99IW",NA
"Replication Data for: Trade-Offs and Synergies Between Yield, Labor, Profit, and Risk in MWIan Maize-Based Cropping Systems","International Food Policy Research Institute (IFPRI)","2018","IFPRI","MWI",NA,"https://doi.org/10.7910/DVN/ILVSXJ","doi_10.7910_DVN_ILVSXJ",NA
"Evaluating Fertilizer Recommendations with Farmers","World Agroforestry Center (ICRAF); Sokoine University of Agriculture (SUA)","2017","IFPRI","TZA",NA,"https://doi.org/10.7910/DVN/TW1LEH","doi_10.7910_DVN_TW1LEH",NA
"IITA-ADC biochar study UGA on Maize","Roobroeck, Dries","2019","IITA","UGA","Maize, Groundnut","https://doi.org/10.25502/z5dp-be17/d","doi_10.25502_z5dp-be17_d",NA
"Replication Data for: Nonlinear heat effects on African Maize as evidenced by historical yield trials","Lobell, David B.","2019","CIMMYT","AGO, Botswana, Congo, Eritrea, ETH, KEN, Lesotho, MWI, MOZ, Namibia, South Africa, Swaziland, TZN, United Republic of, UGA, Congo, the Democratic Republic of the, ZMB, ZWE","Maize","https://hdl.handle.net/11529/10548190","hdl_11529_10548190",NA
"Phenotypic data of inbreds evaluated under Low N conditions in 2017","Badu-Apraku, Baffour","2021","IITA","GHA","Maize","doi.org/10.25502/y1kz-yf32/d","doi_10.25502_y1kz-yf32_d",NA
"Dataset for: Adaptation and Efficiency Trials (CIP396026.101) - Season II","Gastelo, Manuel","2021","CIP","PER","potato","https://doi.org/10.21223/GQUPBQ","doi_10.21223_GQUPBQ",NA
"Gliricidia impacts on soil fertility, crop yields and nutrition in ZMB","Chikoye, David","2021","IITA","ZMB","Maize, Soybean","https://doi.org/10.25502/0fa9-dm27/d","doi_10.25502_0fa9-dm27_d",NA
"Dataset for: Advanced yield trial, wide adapted population with 6 locations","Gruneberg, Wolfgang","2022","CIP","PER","sweetpotato","https://doi.org/10.21223/8NSSWF","doi_10.21223_8NSSWF",NA
"Raising and sustaining productivity in cereal-legume cropping systems in northern GHA","IITA; Savanna Agricultural Research Institute (SARI)","2014","IFPRI","GHA","","https://doi.org/10.7910/DVN/3HVZH3","doi_10.7910_DVN_3HVZH3",NA
"Dataset for: Assessment of at least 42 clones sub-Saharan Africa crosses in two locations for high yielding under late blight and virus disease pressure in Kenya","Mendes, Thiago","2018","CIP","KEN","potato","https://doi.org/10.21223/NBW7X3","doi_10.21223_NBW7X3",NA
"Crop diversification in conservation agriculture is critical for climate adaptation","Thierfelder, Christian","2016","CIMMYT","MWI","maize","https://https://hdl.handle.net/11529/10823","hdl_11529_10823",NA
"Replication data for: Response of secondary growth parameters in maize (Zea mays L.) to conservation agriculture and conventional tillage systems in multi environments of Zimbabwe","Thierfelder, Christian","2017","CIMMYT","ZWE","maize","https://hdl.handle.net/11529/10869","hdl_11529_10869",NA
"Data from: Effects of fertilizer on inorganic soil N in East Africa maize systems: vertical distributions and temporal dynamics","Tully, K. L.","2016","Univeristy of Maryland","KEN, TZA","","https://doi.org/10.5061/dryad.5qr62","doi_10.5061_dryad.5qr62",NA
"Ocurrence and diversity of arbuscular mycorrhizal fungi colonizing off-season and in-season weeds and their relationship with maize yield under conservation agriculture in Southern Africa","Mhlanga, Blessing","2022","CIMMYT","ZWE",NA,"https://hdl.handle.net/11529/10548831","hdl_11529_10548831",NA
"Dataset for: Biofortified clones in Rwanda 2020","Mendes, Thiago","2021","CIP","RWA","potato","https://doi.org/10.21223/ZZSTWK","doi_10.21223_ZZSTWK",NA
"Dataset for: Advanced yield trial, low sugar population with 6 locations","Gruneberg, Wolfgang","2022","CIP","PER","sweetpotato","https://doi.org/10.21223/SAIZKC","doi_10.21223_SAIZKC",NA
"Data from: Maize-nutrient response information applied across Sub-Saharan Africa","Wortmann Charles","2020","University of Nebraska - Lincoln","","Maize","https://doi.org/10.5061/dryad.tt6h5h1","doi_10.5061_dryad.tt6h5h1",NA
"Dataset for: Late blight resistant potato varieties for the tropical highlands and mid-elevation","Gastelo, Manuel","2021","CIP","PER","potato","https://doi.org/10.21223/BJECYK","doi_10.21223_BJECYK",NA
"Dataset for: Adaptation and Efficiency Trials (CIP395123.6) - Season I","Gastelo, Manuel","2021","CIP","PER","potato","https://doi.org/10.21223/JKNWBC","doi_10.21223_JKNWBC",NA
"Dataset for: Iron, zinc and vitamin C concentration of hundreds of potato landraces from Huancavelica","Burgos, Gabriela","2019","CIP","PER","potato","https://doi.org/10.21223/P3/LXO6O2","doi_10.21223_P3_LXO6O2",NA
"Dataset for: SET 2: Participatory Varietal Selection of Late Blight Resistant Potato Clones","Gastelo, Manuel","2020","CIP","PER","potato","https://doi.org/10.21223/UGHHPK","doi_10.21223_UGHHPK",NA
