name,sciname,altname,is_preferred,harvest,groups,fresh_moisture,max_yield,NOTE,snake_case,CamelCase,AGROVOC,CATEGORY,URI
bilberry,Vaccinium myrtillus,,,,fruits,,,,bilberry,Bilberry,bilberries,fruits,http://aims.fao.org/aos/agrovoc/c_aeec9b59
black currant,Ribes nigrum,,,,fruits,,,,black_currant,BlackCurrant,black currants,fruits,http://aims.fao.org/aos/agrovoc/c_945
black gram,Vigna mungo,,,seed,pulses,,,,black_gram,BlackGram,,,
black salsify,Scorzonera hispanica,,,,root_crops,,,,black_salsify,BlackSalsify,black salsify,root_crops,http://aims.fao.org/aos/agrovoc/c_0f628632
blackberry,Rubus spp,,,,fruits,,,,blackberry,Blackberry,blackberries,fruits,http://aims.fao.org/aos/agrovoc/c_947
blue agave,Agave tequilana,,,,syrup,,,,blue_agave,BlueAgave,,,
blueberry,Vaccinium spp.,,,,fruits,,,,blueberry,Blueberry,blueberries,fruits,http://aims.fao.org/aos/agrovoc/c_974
borage,Borago officinalis,,,seed,oil_seeds,,,,borage,Borage,borage seed,oil_seeds,http://aims.fao.org/aos/agrovoc/c_d2910779
abyssinian cabbage,Brassica carinata,,,,vegetables,,,,abyssinian_cabbage,AbyssinianCabbage,brassica carinata,vegetables,http://aims.fao.org/aos/agrovoc/c_33311
brazil nut,Bertholletia excelsa,,,,nuts,,,,brazil_nut,BrazilNut,brazil nuts,nuts,http://aims.fao.org/aos/agrovoc/c_9410
broccoli,Brassica oleracea var. italica,,,,vegetables,,,,broccoli,Broccoli,broccoli,vegetables,http://aims.fao.org/aos/agrovoc/c_7339
brussels sprouts,Brassica oleracea,,,,vegetables,,,,brussels_sprouts,BrusselsSprouts,brussels sprouts,vegetables,http://aims.fao.org/aos/agrovoc/c_1127
buckwheat,Fagopyrum esculentum,,,,pseudocereals,,,,buckwheat,Buckwheat,buckwheat,pseudocereals,http://aims.fao.org/aos/agrovoc/c_9471
cabbage,Brassica oleracea,,,,vegetables,,,,cabbage,Cabbage,cabbages,vegetables,http://aims.fao.org/aos/agrovoc/c_1173
cactus pear,,,,,fruits,,,,cactus_pear,CactusPear,cactus pears,fruits,http://aims.fao.org/aos/agrovoc/c_ba7fc495
calamondin,,,,,fruits,,,,calamondin,Calamondin,calamondins,fruits,http://aims.fao.org/aos/agrovoc/c_15497
cantaloupe,,,,,fruits,,,,cantaloupe,Cantaloupe,cantaloupes,fruits,http://aims.fao.org/aos/agrovoc/c_12714
carambola,,,,,fruits,,,,carambola,Carambola,carambolas,fruits,http://aims.fao.org/aos/agrovoc/c_9605
cardamom,,,,,spices,,,,cardamom,Cardamom,cardamom,spices,http://aims.fao.org/aos/agrovoc/c_9620
cardoon,Cynara cardunculus,artichoke thistle,,,vegetables,,,,cardoon,Cardoon,cardoons,vegetables,http://aims.fao.org/aos/agrovoc/c_9623
carob,,,,,pulses,,,,carob,Carob,carobs,pulses,http://aims.fao.org/aos/agrovoc/c_9631
carrot,,,,,vegetables,,,,carrot,Carrot,carrots,vegetables,http://aims.fao.org/aos/agrovoc/c_9640
cashew,,,,,nuts,,,,cashew,Cashew,cashews,nuts,http://aims.fao.org/aos/agrovoc/c_9647
cassabanana,Sicana odorifera,,,,fruits,,,,cassabanana,Cassabanana,cassabanana,fruits,http://aims.fao.org/aos/agrovoc/c_972d313c
cassava,Manihot esculenta,,,roots; leaves,vegetables,,90000,,cassava,Cassava,cassava,vegetables,http://aims.fao.org/aos/agrovoc/c_9649
castor bean,,,,,oil_seeds,,,,castor_bean,CastorBean,castor beans,oil_seeds,http://aims.fao.org/aos/agrovoc/c_18705
catjang,Vigna unguiculata subsp. cylindrica,,,,pulses,,,,catjang,Catjang,catjang,pulses,http://aims.fao.org/aos/agrovoc/c_1389
cauliflower,,,,,vegetables,,,,cauliflower,Cauliflower,cauliflowers,vegetables,http://aims.fao.org/aos/agrovoc/c_1394
celeriac,Apium graveolens var. rapaceum,celery root,,,vegetables,,,,celeriac,Celeriac,celeriac,vegetables,http://aims.fao.org/aos/agrovoc/c_1411
celery,,,,stems; leaves; seed,vegetables,,,,celery,Celery,celery,vegetables,http://aims.fao.org/aos/agrovoc/c_1412
cherimoya,,,,,fruits,,,,cherimoya,Cherimoya,cherimoyas,fruits,http://aims.fao.org/aos/agrovoc/c_9761
